"Model"	"Displ"	"Cyl"	"Trans"	"Drive"	"Fuel"	"Veh.Class"	"Air.Pollution.Score"	"City.MPG"	"Hwy.MPG"	"Cmb.MPG"	"Greenhouse.Gas.Score"	"dataYear"
"PORSCHE 911 C4 GTS Cabriolet"	3.8	6	"Auto-7"	"4WD"	"Gasoline"	"small car"	5	18	27	21	4	"12"
"PORSCHE 911 C4 GTS Cabriolet"	3.8	6	"Man-6"	"4WD"	"Gasoline"	"small car"	5	17	25	20	4	"12"
"PORSCHE 911 C4 GTS Cabriolet"	3.8	6	"Man-6"	"4WD"	"Gasoline"	"small car"	5	17	25	20	4	"12"
"PORSCHE 911 Carrera"	3.6	6	"Auto-7"	"2WD"	"Gasoline"	"small car"	5	19	27	22	5	"12"
"PORSCHE 911 Carrera"	3.6	6	"Auto-7"	"2WD"	"Gasoline"	"small car"	5	19	27	22	5	"12"
"PORSCHE 911 Carrera"	3.6	6	"Man-6"	"2WD"	"Gasoline"	"small car"	5	18	25	21	4	"12"
"PORSCHE 911 Carrera"	3.6	6	"Man-6"	"2WD"	"Gasoline"	"small car"	5	18	25	21	4	"12"
"PORSCHE 911 Carrera 4"	3.6	6	"Auto-7"	"4WD"	"Gasoline"	"small car"	5	18	26	21	4	"12"
"PORSCHE 911 Carrera 4"	3.6	6	"Auto-7"	"4WD"	"Gasoline"	"small car"	5	18	26	21	4	"12"
"PORSCHE 911 Carrera 4"	3.6	6	"Man-6"	"4WD"	"Gasoline"	"small car"	5	18	24	21	4	"12"
"PORSCHE 911 Carrera 4"	3.6	6	"Man-6"	"4WD"	"Gasoline"	"small car"	5	18	24	21	4	"12"
"PORSCHE 911 Carrera 4 Cabriolet"	3.6	6	"Auto-7"	"4WD"	"Gasoline"	"small car"	5	18	26	21	4	"12"
"PORSCHE 911 Carrera 4 Cabriolet"	3.6	6	"Auto-7"	"4WD"	"Gasoline"	"small car"	5	18	26	21	4	"12"
"PORSCHE 911 Carrera 4 Cabriolet"	3.6	6	"Man-6"	"4WD"	"Gasoline"	"small car"	5	18	25	21	4	"12"
"PORSCHE 911 Carrera 4 Cabriolet"	3.6	6	"Man-6"	"4WD"	"Gasoline"	"small car"	5	18	25	21	4	"12"
"PORSCHE 911 Carrera 4 Targa"	3.6	6	"Auto-7"	"4WD"	"Gasoline"	"small car"	5	18	26	21	4	"12"
"PORSCHE 911 Carrera 4 Targa"	3.6	6	"Auto-7"	"4WD"	"Gasoline"	"small car"	5	18	26	21	4	"12"
"PORSCHE 911 Carrera 4 Targa"	3.6	6	"Man-6"	"4WD"	"Gasoline"	"small car"	5	18	25	21	4	"12"
"PORSCHE 911 Carrera 4 Targa"	3.6	6	"Man-6"	"4WD"	"Gasoline"	"small car"	5	18	25	21	4	"12"
"PORSCHE 911 Carrera 4S"	3.8	6	"Auto-7"	"4WD"	"Gasoline"	"small car"	5	18	26	21	4	"12"
"PORSCHE 911 Carrera 4S"	3.8	6	"Auto-7"	"4WD"	"Gasoline"	"small car"	5	18	26	21	4	"12"
"PORSCHE 911 Carrera 4S"	3.8	6	"Man-6"	"4WD"	"Gasoline"	"small car"	5	18	25	21	4	"12"
"PORSCHE 911 Carrera 4S"	3.8	6	"Man-6"	"4WD"	"Gasoline"	"small car"	5	18	25	21	4	"12"
"PORSCHE 911 Carrera 4S Cabriolet"	3.8	6	"Auto-7"	"4WD"	"Gasoline"	"small car"	5	18	27	21	4	"12"
"PORSCHE 911 Carrera 4S Cabriolet"	3.8	6	"Auto-7"	"4WD"	"Gasoline"	"small car"	5	18	27	21	4	"12"
"PORSCHE 911 Carrera 4S Cabriolet"	3.8	6	"Man-6"	"4WD"	"Gasoline"	"small car"	5	17	25	20	4	"12"
"PORSCHE 911 Carrera 4S Cabriolet"	3.8	6	"Man-6"	"4WD"	"Gasoline"	"small car"	5	17	25	20	4	"12"
"PORSCHE 911 Carrera 4S Targa"	3.8	6	"Auto-7"	"4WD"	"Gasoline"	"small car"	5	18	27	21	4	"12"
"PORSCHE 911 Carrera 4S Targa"	3.8	6	"Auto-7"	"4WD"	"Gasoline"	"small car"	5	18	27	21	4	"12"
"PORSCHE 911 Carrera 4S Targa"	3.8	6	"Man-6"	"4WD"	"Gasoline"	"small car"	5	17	25	20	4	"12"
"PORSCHE 911 Carrera 4S Targa"	3.8	6	"Man-6"	"4WD"	"Gasoline"	"small car"	5	17	25	20	4	"12"
"PORSCHE 911 Carrera Cabriolet"	3.6	6	"Auto-7"	"2WD"	"Gasoline"	"small car"	5	19	27	21	4	"12"
"PORSCHE 911 Carrera Cabriolet"	3.6	6	"Auto-7"	"2WD"	"Gasoline"	"small car"	5	19	27	21	4	"12"
"PORSCHE 911 Carrera Cabriolet"	3.6	6	"Man-6"	"2WD"	"Gasoline"	"small car"	5	18	26	21	4	"12"
"PORSCHE 911 Carrera Cabriolet"	3.6	6	"Man-6"	"2WD"	"Gasoline"	"small car"	5	18	26	21	4	"12"
"PORSCHE 911 Carrera S"	3.8	6	"Auto-7"	"2WD"	"Gasoline"	"small car"	5	19	26	22	5	"12"
"PORSCHE 911 Carrera S"	3.8	6	"Auto-7"	"2WD"	"Gasoline"	"small car"	5	19	26	22	5	"12"
"PORSCHE 911 Carrera S"	3.8	6	"Man-6"	"2WD"	"Gasoline"	"small car"	5	18	25	21	4	"12"
"PORSCHE 911 Carrera S"	3.8	6	"Man-6"	"2WD"	"Gasoline"	"small car"	5	18	25	21	4	"12"
"PORSCHE 911 Carrera S Cabriolet"	3.8	6	"Auto-7"	"2WD"	"Gasoline"	"small car"	5	19	27	21	4	"12"
"PORSCHE 911 Carrera S Cabriolet"	3.8	6	"Auto-7"	"2WD"	"Gasoline"	"small car"	5	19	27	21	4	"12"
"PORSCHE 911 Carrera S Cabriolet"	3.8	6	"Man-6"	"2WD"	"Gasoline"	"small car"	5	18	26	21	4	"12"
"PORSCHE 911 Carrera S Cabriolet"	3.8	6	"Man-6"	"2WD"	"Gasoline"	"small car"	5	18	26	21	4	"12"
"PORSCHE 911 GTS"	3.8	6	"Auto-7"	"2WD"	"Gasoline"	"small car"	5	19	26	22	5	"12"
"PORSCHE 911 GTS"	3.8	6	"Auto-7"	"2WD"	"Gasoline"	"small car"	5	19	26	22	5	"12"
"PORSCHE 911 GTS"	3.8	6	"Man-6"	"2WD"	"Gasoline"	"small car"	5	18	25	21	4	"12"
"PORSCHE 911 GTS"	3.8	6	"Man-6"	"2WD"	"Gasoline"	"small car"	5	18	25	21	4	"12"
"PORSCHE 911 GTS Cabriolet"	3.8	6	"Auto-7"	"2WD"	"Gasoline"	"small car"	5	19	27	21	4	"12"
"PORSCHE 911 GTS Cabriolet"	3.8	6	"Auto-7"	"2WD"	"Gasoline"	"small car"	5	19	27	21	4	"12"
"PORSCHE 911 GTS Cabriolet"	3.8	6	"Man-6"	"2WD"	"Gasoline"	"small car"	5	18	26	21	4	"12"
"PORSCHE 911 GTS Cabriolet"	3.8	6	"Man-6"	"2WD"	"Gasoline"	"small car"	5	18	26	21	4	"12"
"PORSCHE 911 Speedster"	3.8	6	"Auto-7"	"2WD"	"Gasoline"	"small car"	5	19	27	21	4	"12"
"PORSCHE 911 Speedster"	3.8	6	"Auto-7"	"2WD"	"Gasoline"	"small car"	5	19	27	21	4	"12"
"PORSCHE 911 Turbo"	3.8	6	"Auto-7"	"2WD"	"Gasoline"	"small car"	5	17	25	19	3	"12"
"PORSCHE 911 Turbo"	3.8	6	"Auto-7"	"2WD"	"Gasoline"	"small car"	5	17	25	19	3	"12"
"PORSCHE 911 Turbo"	3.8	6	"Man-6"	"2WD"	"Gasoline"	"small car"	5	16	24	19	3	"12"
"PORSCHE 911 Turbo"	3.8	6	"Man-6"	"2WD"	"Gasoline"	"small car"	5	16	24	19	3	"12"
"PORSCHE 911 Turbo Cabriolet"	3.8	6	"Auto-7"	"2WD"	"Gasoline"	"small car"	5	16	24	19	3	"12"
"PORSCHE 911 Turbo Cabriolet"	3.8	6	"Auto-7"	"2WD"	"Gasoline"	"small car"	5	16	24	19	3	"12"
